Codigo;Descricao
31845;PLACA MADEIRA E ZINCO PROJETO E EXECUCAO DE OBRA
1217;PLACA FOTOLUMINESCENTE SAIDA 24X12CM
22794;PLACA FOTOLUMINESCENTE BONECO SETA PARA ESQUERDA 25X16
22555;PLACA FOTOLUMINESCENTE BONECO DESCENDO ESCADA PARA ESQUERDA 30X15
20139;PLACA DE MONTAGEM P/ QUAD. DE COMANDO 1200X800
9573;PLACA COMUNICACAO MODULARE/CONECTA INTELBRAS
4739;PLACA 08 RAMAIS DESBALANCEADA COMUNIC 48
1833;PINO ELASTICO 4.8X30
20632;PINCEL CONDOR 2.1/2
30689;PINCEL ARTIST 6
24960;PERFIL DUPLO 25 'C' BRANCO LISO 3M DUTOTEC
19217;PATCH PANEL 24 PORTAS CAT5E - CARREGADO - ROHDINA
10655;PATCH CORD CAT 5E CM 4P X 24AWG VERMELHO - 1.5MT
18936;PATCH CORD CAT 5E CM 4P X 24AWG AZUL - 1.5MT - HI TOP/ROHS
26406;PASTA PP ABA PLATICO OFICIO DORSO 40 MM
25596;PARTIDA REVERSORA FAIL-SAFE 500V 0.09-0.75kW 0.4-2A 100-230VAC 3RM1302-1AA14 SIEMENS
28005;PARAFUSO SEXTAVADO 8X35 INOX
33301;PARAFUSADEIRA/FURAD. 20V C/ 2 BATERIAS 2AH DEWALT - DCD7781D2BR
1249;PARA RAIO DE DISTR 21KV-10KA. TIPO ZND POLIMERICO
5929;PARA RAIO DE BAIXA TENSAO DPS 275V - 40KA - 801240
30097;PAINEL MODULAR 1900+100X1200X400 SOMENTE ESTRUTURA PORTA BIPARTIDA
21167;PA DE CORTE RETA
22914;PA AJUNTAR QUADRADA C/ CABO
25380;OLEO LUBRAX TECNO 15W40 1LT
32019;OLEO FALUB 68 GL 5LT
24505;OCULOS DE SEGURANCA PARA OCULOS DE GRAU
31042;OCULOS ANTIEMBACANTE SOLUS 1000 INCOLOR
30906;NOBREAK MINI IV (700VA / 1 BAT 7AH) BIVOLT/S.120V
24644;NIPEL DUPLO 6003 3/8 X 3/8
6769;NIPEL C/ ROSCA 1/2
20737;MUFLA PARA CABO 50/185MM 20/35KV EXT -TPK351E
23348;MOTOR USADO 1CV 2POLO MONOFASICO
32998;MOTOR NOVO 6CV 4POLO TRIFASICO WEG 220/380V W22 IR3 PREMIUM
28728;MOTOR DC 18V/400-1300 RPM / 208W
7869;MONOFONE PORTEIRO INTERVOX PLUS CINZA CLARO
31471;MODULO SAIDA DIGITAL AXIOLINE 32X DO 24VDC REF AXL F DO32/1 1F PHOENIX
24412;MODULO PLUG-IN COMUNICACAO PROFINET REF CFW500-CEPN-IO
32778;MODULO INTERFACE REMOTA ET200SP IM155-6PN ST C/BA 2XRJ45 6ES7155-6AA02-0BN0 SIEMENS
22514;MODULO I/O S7-1200 16DI 16DO 24VCC 6ES7223-1BL32-0XB0 SIEMENS
33364;MODULO HIGH POWER LED 50W 5500K 7500 LUMENS IP66 LENTE 90º
17745;MODULO EXPANSAO 16 SAIDAS TRANSISTOR 24VCC NPN XBE-TN16A LS
31470;MODULO ENTRADA DIGITAL AXIOLINE 16X DI 24VDC REF AXL F DI16/1 1H PHOENIX
22642;MODULO ENTRADA ANALOGICA ET200SP 8XAI 0-20/4-20MA 2/4 FIOS 6ES7134-6GF00-0AA1 SIEMENS
24828;MODULO ELETRONICO PARA ET200SP F-DQ 4X 24VDC 6ES7136-6DB00-0CA0 SIEMENS
17900;MODULO DE RELE 12V C PLACA CONTECSUL MRL
17478;MODULO DE LEITURA 8 SENSORES PT100 AM8P TECNOLOG
27994;MODULO COMUNICACAO P/ ET-200SP RS422/485/232 USS/MODBUS CM PTP V17 REF 6ES7137-6AA01-0BA0 SIEMENS
22207;MODULO ANALOG S7-1200 4RTD 6ES7231-5PD32-0XB0 SIEMENS
30844;MINI VENTILADOR 60X60X15MM 24V
4516;MICRO RUPTOR Z-15GW22-B
14285;METALATEX ELASTIC XY 16L
4469;MASTRO SIMPLES 3MTX1.1/2 PRT-335
33319;MASSA NIVELADORA BRANCA 20KG PROTEC
28606;MARTELO UNHA POLIDO 27MM - NOVE54
31672;MARTELETE SDS-PLUS D25133K 800W 220V - DEWALT
20814;MARRETA 1.5KG
24330;MANGUEIRA FLEXCASTY TIPO 2 - 2.1/2 X 25M - LATÃO
29551;MANGUEIRA FLAT 6-150MM P/IRRIGACAO
12589;LUVA SOLDAVEL 25MM
25820;LUVA PU FLEXTATIL PT N09 G
20068;LUVA EMENDA COMPRESSAO CABO AL CA 1/0AWG LAR-44 / LEC38
5842;LUVA ELETRODUTO GALVANIZADO 2 NBR 5580
16924;LUMINARIA/PLAFON LED EMBUTIR QUADRADO BRANCO 6W 4000K
32190;LUMINARIA/PLAFON LED EMBUTIR QUADRADO BRANCO 45W 6500K 62X62 - TASCHIBRA
15759;LUMINARIA/PLAFON LED EMBUTIR QUADRADO BRANCO 15W 6500K
16954;LUMINARIA/PLAFON LED EMBUTIR QUADRADO BRANCO 12W 4000K
16682;LUMINARIA/PLAFON LED EMBUTIR CIRCULAR BRANCO 24W 4000K
24634;LUMINARIA EMBUTIR 2x40W AL ANODIZADO - USADA
17286;LUMINARIA EMBUTIR 2X36/40W T8-E20 BRANCA S/ ALETAS C/ REFL. ALUM
10204;LUMINARIA DE EMBUTIR 4X18/20W - T8E26
10214;LUMINARIA DE EMBUTIR 4X14W - T5E15
25998;LUMINARIA COM 2 FAROIS -16W - 24VCC - 2000LM - LED - IP53
17336;LUMINARIA BLINDADA 100W E-27 JOELHO ART.
21214;LUMINÁRIA AVIARIA T16/120 20W 220V 26Ø*1200MM 3000K SIM IP 65
9006;LINKSYSTEM MODULO RJ-45 (F505002)
28252;LINHA DE NYLON 0.45 100MT
29239;LIMA ENXADA 8 S/ CABO - NICHOLSON
4213;LAMPADA VAPOR METALICA 70W BRANCA - BIPINO
4209;LAMPADA VAPOR METALICA 70W AZUL - BIPINO
26623;LAMPADA VAPOR METALICA 2000W TUBOLAR BRANCA
8839;LAMPADA VAPOR METALICA 150W BRANCA - E27 - OUROLUX
15340;LAMPADA VAPOR METAL 150W TUB. 5500K E27 BR
28978;LAMPADA PAR 20 LED 25 5.5W BIVOLT 2700 - BRILIA
15204;LAMPADA LED HALOPIN 3W 2700K 220V
11302;LAMPADA HALOGENA 1000W LONGA
21885;LAMPADA HALOG. CLASSIC 70W 220V E27
29026;LAMPADA BULBO LED 50W 6500K E27 BIV - KIAN BRASIL
31669;KIT TESTADOR E VERIFICADOR DE CABOS REDE RJ45 RJ11 POE PROF. VCOM PROBE-DN-TEST-KIT
28888;KIT REPARO CILINDRO PNEUMATICO ISO 050 D/AM BUNAN KR05020
6085;KIT REMOTO 4K7 1/4 X 40MM
29511;KIT PRIMER PU
32241;KIT PAR GBIC 10GBPS 20KM LC SFP+ BIDI DDM TX1270-RX1330NM
31343;JOYSTICK XM-3E4 4 POSICOES 22MM COM RETORNO - 2NA
33372;JOGO CHAVE ALLEN LONGA 10PÇS TRAMONTINA
18797;JOELHO SOLDAVEL 75MM 90
29768;JOELHO ACO GALVANIZADO 1/2' X 90º
33183;JOELHEIRA P/COLOCAR PISO
15388;ISOLADOR PINO PORCELANA/VIDRO
17349;ISOLADOR PINO (HITOP) 25KV PORCELANA
17295;ISOLADOR PINO (HITOP) 15KV PORCELANA
18400;ISOLADOR PEDESTAL EM PORCELANA 15KV C/ GUIA VERG. 3/8
1818;ISOLADOR PEDESTAL 25KV EPOXI
24841;INVERSOR G120C 2.2KW 3CV 5.6A 380V PN/ETHIP STO 6SL3210-1KE15-8UF2 SIEMENS
22831;INVERSOR G120C 11KW 15CV 25A 380V PN/ETHIP STO 6SL3210-1KE22-6UF1 SIEMENS
26617;INVERSOR DE FREQUENCIA WEG CFW500D31P0T4DB20- TRIF 20CV - 380V
21537;INVERSOR DE FREQUENCIA WEG CFW500C16P0T4DB20 TRIF. 10CV 380V
15259;INVERSOR DE FREQUENCIA WEG CFW500B06P5T4DB20 3CV 380V
18743;INVERSOR DE FREQUENCIA WEG CFW300A07P3S2NB20 MONOF 2CV 220V
19111;INVERSOR DE FREQUENCIA WEG CFW300A02P6S2NB20 MONOF 1/2CV 220V
15260;INVERSOR DE FREQ. 5CV 380V S/ FILTRO C/ PLUGIN REF CFW500B10P0T4DB20G2 WEG
31075;INVERSOR DE FREQ. 2CV 4.3A 380-480V S/ FILTRO C/ PLUGIN REF CFW500A04P3T4NB20G2 WEG
4073;INTERRUPTOR DIFERENCIAL RESIDUAL 4P 40A - FH204
4006;INTERRUPTOR 1 TEC SIMPLES,TOMADA SISTEMA X
16130;INTERFACE DE OPERACAO REMOTA CFW500-HMIR
3845;INT. EMB. BRANCA 1 TEC MINUTERIA
3671;INDUTANCIA MONOFASICA 7A 220V
3668;INDUTANCIA MONOFASICA 1A 220V
29468;HASTE P/ SERRA COPO SDS PLUS DIAMANTADA
10888;HASTE P/ SERRA COPO AR 1.1/4 A 6 - MANDRIL 3/8
2761;GUIA DE CABOS 19' 1U PRETO
24760;FUSIVEL ULTRARRAPIDO NH1 250A 3NE1227-2 SIEMENS
31223;FUSIVEL RETARDADO NH4 800A REF 3NA3 475 SIEMENS
31931;FUSIVEL RETARDADO NH000 4A
17498;FUSIVEL NH00 80A 500V ULTRARRAPIDO
3499;FUSIVEL NH00 80A 500V RETARDADO
3497;FUSIVEL NH00 50A 500V ULTRARRAPIDO
17497;FUSIVEL NH00 125A 500V ULTRARRAPIDO
27617;FUSIVEL NH aR FNH1-160K-A
4579;FUSIVEL NH aR FNH000-50K-A
13976;FUSIVEL LIMITADOR CORRENTE HHI-6L  15/17,5KV  030A -45MM X 325MM
14497;FUSIVEL LIMITADOR CORRENTE HH-G 55MM 15KV 63A
22479;FUSIVEL LIMITADOR CORRENTE HH-G 55MM 15KV 50A
24570;FUSIVEL LIMITADOR CORRENTE HH 25KV 32A
3453;FUSIVEL LIMITADOR CORRENTE HH 15KV 125A
17065;FUSIVEL FNH2-250K-A - ULTRARRAPIDO 250A
6398;FRASCO DE VIDRO 1000 ML
28731;FONTE SLIM 25A 12V DS300-12 LUXE-P - MXT
10736;FONTE P/ SENSOR EDS-8 220V - 3 SAIDAS 24VCC
30781;FONTE DE ALIMENTACAO 100-240AC/12VDC 30W 2,5A ESSENTIAL-PS PHOENIX
9005;FONTE CHAVEADA 12V 20A
23775;FONTE ATX 350W REAIS PFC C/ CABO REF BLU350PFC BLUECASE
17384;FONTE 7.5V 500MA (,) CHAV. NORMAIS
3281;FONTE 220/12V 3.5A ESTABILIZADA
3276;FONTE 220/12V 1A (,) CHAVEADA
10970;FONTE 12VAC 800MA FECH. C/ BOTOEIRA - MS
21445;FIXADOR DE PORTA EQP SLIM BRANCO - DUTOTEC
29563;FITA ZEBRADA SEM ADESIVO 70MM X 200MT
8017;FITA ISOLANTE LIQUIDA 250GR
30539;FERROLHO REDONDO 3
21703;FERRO CHATO 1/8 X 1.1/2 6MT
31863;FEMEA GIR JIC CURVA 90. 7/8 - 1/2 (10-08)
31318;FECHADURA TRAVA CAPO VW/ FIAT
29570;FECHADURA CAPO/PORTA MALA VW/ FIAT
12813;EXTINTOR PQS BC 4KG ( PO QUIMICO )
15097;EXTINTOR CO2 4KG ( GAS CARBONICO ) - METALCASTY
5697;ESTANHO 1MM 25GR
21810;ESQUADRO 14 CABO ALUMINIO VONDER PLUS
17937;ESQUADRO 12 CABO ALUMINIO
28307;ESPETO SPOT LED CLEAN 5W 6500K
6886;ESCOVA PLASTICA DE ACO 3 FILEIRAS
5783;ESCOURO BUCHA DE COURO GRANDE
24159;ESCALIMETRO TRIANGULAR 30CM
21901;ESCADA EXTENSIVEL FIBRA 3.00X4.80M
24679;ESCADA EXTENSIVEL EF100 10/16 DEGRAUS 3MTX4.8MT 16KG
30500;ESCADA EXTENSIVEL ARTICULADA 09 DEGRAUS 590X2961
19033;ESCADA AMERICANA 6 DEGRAUS 1.80M - 10.5KG
29817;ENGATE RAPIDO 1/2
31055;EMENDA HDMI
22548;EMBALAGENS PLASTICAS ESPECIAIS DIVERSAS
17514;ELO FUSIVEL 8K
22305;ELO FUSIVEL 65K
21440;ELO FUSIVEL 5H - INDEL BAURU
5509;ELETRODUTO GALVANIZADO 2 1/2 - 6MT
9738;EIXO PROLONGADOR 1MT C/ MANCAL
30658;DPS CLASSE III 220/275V 10A 12KA REF S700 722.B.010 CLAMPER
30217;DPS CLASSE I 275VCA 30/60KA
30945;DISJUNTOR TRIF WEG MDWP C20A (MDWP-C20-3-3KA)
25822;DISJUNTOR TRIF WEG 90A DWP125-90-3 20KA
27480;DISJUNTOR TRIF WEG 50A (DWB160L50-3MF 80KA 380V)
22317;DISJUNTOR TRIF WEG 450A DWP630L-450-3 380V 35KA
16404;DISJUNTOR TRIF WEG 175A AGW250N-DX175-3 30KA
18727;DISJUNTOR TRIF DZ47 DIN 80A 10KA
15084;DISJUNTOR TRIF C16A 3KA
30666;DISJUNTOR TRIF AJUST 560-800A 35KA REF DWB800S800-3DA WEG
30458;DISJUNTOR TRIF 80A C 4,5KA EZF33380
27041;DISJUNTOR TRIF 80A 16KA 380V 3VM1080-2ED32-0AA0 SIEMENS
4700;DISJUNTOR TRIF 125A CM1 - PQ
18823;DISJUNTOR MOTOR MPW40-3-U032 ( 25-32A )
28178;DISJUNTOR MOTOR AZ MPW40I-3-U020 (20A)
20574;DISJUNTOR MOTOR (1.1-1.6A) 3RV2011-1AA20 SIEMENS
11054;DISJUNTOR BIFASICO C16A (SH202T-16A 3KA)
32623;DISJUNTOR BIFASICO C10A 6KA 5SL6210-7MB SIEMENS
15062;DISJUNTOR BIF SIBRATEC C50A 3KA
6576;DISJUNTOR BIF B40A (MDW-B40-2-3kA)
29151;DISCO LIXA C/PLUMA C/F 225MM G060
9482;DIMMER AVILAMP 220
30525;DETECTOR TERMICO WIRELESS
31163;DETECTOR OPTICO DE FUMACA BOSCH FAP-425-OT-R
32052;DESENGRAXANTE 5L
31671;DECAPADOR E APARADOR DE CABO UTP COM MULTI-FUNCAO COM LAMINA AJUSTAVEL DN-TOOL-DC
25644;CURVA VERTICAL INTERNA R40 BRANCA DR25140.00 DUTOTEC
23055;CURVA VERTICAL EXTERNA DUTOTEC R40 CINZA
26584;CURVA VERT. EXTERNA 90° P/ PERFILADO 38X38 GF
15843;CURVA HORIZONTAL ELETRO LISA 200X50X90
7084;CRUZETA HORIZONTAL ELETRO PERF 50X50
6343;CRUZETA DE MADEIRA 2.4MT
32683;CPU 1510SP-1 PN ET200SP 200KB PROG 1MB DATA REF 6ES7510-1DK03-0AB0 SIEMENS
28485;CORDAO OPTICO NAZDA SC-UPC/SC-UPC SIMPLEX MONOMODO 1M
27150;CONTROLADOR TEMP. GHME-112 220V/50-60 SENSOR J - K - PT100
16961;CONTROLADOR DUPLO FHMB 1116 BIVOLT
28960;CONTROLADOR DE NIVEL ELETROMECANICO APNP-1 AL 24VCC 70MM 11
20475;CONTATOR P/ CAPACITOR 20KVAR/380V BOBINA 380V REF CWMC25-10-30-X41 WEG
24041;CONTATOR CWL18-10-30D02 24V 50/60HZ
21877;CONTATOR CWBS65-22-30D23 220V
24165;CONTATOR CWBS38-11-30D23 220V (25CV 380V)
19781;CONTATOR CWBS12-22-30 C03 24VCC
30321;CONTATOR CWB95-11-30 D23 220V
18626;CONTATOR CWB40 11 30D02 24V 50/60HZ
19364;CONTATOR CWB38-11-30D23 220V 50/60HZ
5637;CONTATOR CCA IC12 10 24V
8365;CONTATOR A16DA .30.10 220V
20740;CONTATO AUXILIAR MSW AC-40 P 1NF
20739;CONTATO AUXILIAR MSW AC-40 P 1NA
11013;CONTATO AUXILIAR LATERAL 1NA+1NF P/ DISJUNTOR MOTOR MPW18/40/80 REF ACBS-11
7767;CONTATO AUXILIAR CONTATOR LATERAL CAL4-11 ( MO
32467;CONJUNTO DE VAROES PAINEL 1900
28423;CONJUNTO CONECTOR , BOBINA 24VAC FURO 9MM-88
24546;CONJUNTO CABO P/ IHM REMOTA 3MT CFW500-CCHMIR03M WEG
16131;CONJUNTO CABO P/ IHM REMOTA 2MT (CFW500-CCHMIR02M)
9167;CONEXAO UNIAO T TPE-12 12MM
30422;CONEXAO UNIAO REDUCAO 12X08
14386;CONEXAO I P/ TRILHO ENERGIZADO BRANCO - STELLA
32174;CONECTOR TERMINAL RETO CABO/BARRA ALUM. 138KV CABO CA/CU 250 A 400MCM / CAA 4/0AWG A 397,5MCM
20869;CONECTOR SPLIT BOLT C/ PARAF SEXTAV. 16MM
30565;CONECTOR COM LED 12/24VCC VOLTS - BOBINA MODELO U1X22MM
1350;CONDULETE DE ALUMINIO TIPO XSR 1
29131;CONDULETE DE ALUMINIO TIPO E 1 C/ ROSCA S/ TAMPA
13695;CONDULETE DE ALUMINIO A PROVA DE EXPLOSÃO 1 TIPO LL
18980;CONDULETE DE ALUMINIO A PROVA DE EXPLOSÃO 1 TIPO C
8593;COLHER PEDREIRO NR 8
23846;CLP S7-1200 1215C DC/DC/DC 14DI/2AI 10DO/2AO 24VCC 6ES7215-1AG40-0XB0 SIEMENS
31962;CINTO 7 PONTOS SAFE POWER AZUL
13659;CINTA PARA POSTE CIRCULAR 300MM
26977;CINTA ELEVACAO CARGA 4TON 4MTS 100DB
32060;CINTA ELEVACAO CARGA 4TON 1.5MTS
24288;CINTA ELEVACAO CARGA 3TON 1.5MTS 90MM
29651;CINTA DE BORRACHA 300MM - ESCADAS
7416;CHUVEIRO ADVANCED ELETRONICO 7500W 220V
16617;CHAVE VOLTIME. 7 POS. 660V LW28-20V - SIBRATEC
3446;CHAVE SECCIONADORA UNIPOLAR C/ BASE - 100A 15KV C/ GANCHO PARA LOAD BUSTER
17760;CHAVE SECCIONADORA ROTATIVA D11-100A 3P MONTAGEM DIN HASTE 150MM
15131;CHAVE SACA FUSIVEL 630A FSW 630-3
17513;CHAVE FUSIVEL BASE C 25KV 100/300A - ISOTRAFO
5989;CHAVE FIXA 16X17MM - ROBUST
15152;CHAVE FIM DE CURSO METALICA PINO 1NA+1NF REF ME8111
6940;CHAVE FENDA ISOLACAO PARALELA 1/8X6 (3X150)
31106;CHAVE DE FENDA 1/8X3.1/8 - ISOLADA
10873;CHAVE COMBINADA 15MM - MAYLE
9700;CHAVE COMBINADA 13MM 14B
4832;CHAVE COMBINADA 10MM - ROBUST
4826;CHAVE CANHAO 10MM - GEDORE
4810;CHAVE ALLEN LONGA 6MM
15828;CHAVE ALAVANCA LIG/DESL MS-815 15A MONOF.
20745;CHAVE ALAV. LIGA/DESLG/LIGA 3POS. 15A  MOD. 1322A
30250;CHALEIRA ELETRICA 1.8L INOX
15183;CENTRIFUGO KOHLBACK 48 2P NEMA ANTIGO
4462;CENTRIFUGO BIF 4P 112/132 (RURAL)
5467;CENTRIFUGO 56 4P
32826;CARTUCHO P/ CHAVE BASE C 25KV 100A
4397;CARRETEL COMPLETO APARADOR DE GRAMA - GMEG
31274;CARREGADOR BATERIA 18V 1A FG3006 - FORTG
24558;CAPACITOR PERMANENTI 45UF 440V JL
18927;CAPACITOR PERMANENTE TERM DUPLO 25,2.5UF 450V
13763;CAPACITOR PERMANENTE 60UF 250V
7522;CAPACITOR PERMANENTE 45UF 250V
4310;CAPACITOR PERMANENTE 2UF 250V
4188;CAPACITOR CELULA TRIFASICO 1.5KVAR 380V WEG
23403;CANTONEIRA 3/16 X 1  6MTS
5531;CANALETA RA 50X80 - B/2MT - CREME
32133;CAIXA/MALETA PLASTICA FERRAMENTAS 20'' 50.8X24X24
28935;CAIXA PASSAGEM P/ AR SPLIT COM 3 SAIDAS - CCTCX2074
27986;CAIXA P/ 36 DISJUNTORES EMBUTIR S/ BARRAMENTO QDW02-36-BE
3794;CAIXA LIGACAO 71/80
897;CAIXA DE LUZ 6X6 TETO PRETA SEXTAVADA
3399;CAIXA BOX 145X155X160
20991;CAIXA ALUMINIO PARA MEDIDOR DEMANDA-TIPO MDR- BRANCA - (55x68x25CM) CMDR
3331;CADEADO 20MM
30266;CABO PP 500V 4X1.5MM - PRETO
22982;CABO PARA HMI REMOTA SERIAL 2M SSW05/07/08 CAB-RS-2M WEG
9673;CABO P/ SENSOR 3 FIOS CONECTOR M8 CD08F/3P-0C1
21565;CABO MADEIRA P/ MACHADO 100CM (IPE)
14113;CABO HDMI 5M
8653;CABO EPROTENAX 185MM - BRANCO
2960;CABO EPROTENAX 185MM - AZUL
1864;CABO ALUMINIO CA - 2 AWG
21430;BUJÃO SEXT. EXTERNO BJ 1/4 ALUM.
31878;BUCHA TERMINAL DE ATERRAMENTO GALVANIZADO A FOGO 3'' IP66
31876;BUCHA TERMINAL DE ATERRAMENTO GALVANIZADO A FOGO 2'' IP66
25214;BUCHA REDUCAO SOLDAVEL CURTA 25X20MM
10045;BUCHA REDUCAO 3/4X1/2 GALVANIZADA
29804;BUCHA REDUCAO 3' X 2' GALVANIZADO
22362;BUCHA REDUCAO 2.1/2 X 3/4 GALVANIZADO
17950;BUCHA REDUCAO 2 1/2 X 1.1/2GALVANIZADO
13759;BUCHA REDUCAO 1.1/2' X 1' - GALVANIZADO
22931;BUCHA DE PASSAGEM PORC.  15KV 400A EXT. / INT. C/ VERGALHAO 5/8
10875;BROCA VIDEA 12 X 150MM
2147;BROCA SDS PLUS 12X100X160
7257;BROCA ESCALONADA RETA 6 A 37 MM
31107;BROCA ACO RAPIDO 3.3MM
30973;BRACO T REGULAGEM - CADEIRA EXECUTIVA
14125;BOTINA C/ ELASTICO SOLADO B1 Nº 46 (D-46)
1565;BOTAO PULSO VERDE 1NA HB2-EA31
25213;BOTAO DE SAIDA INOX C/ MOLDURA PRATA BT 5000 IN
17044;BOTAO COMANDO COMUTADOR 3 POSICAO S/RETENCAO 2NA - BRASILTEC
19712;BOTAO COMANDO COMUTADOR 3 POSICAO C/ RET. CSW-CKI3F451 WH HNOB ILUMINADO VERMELHO
21353;BOTAO COM. COM. ILUM 2 POS XB2-EK2461 C/ RET 24V 1NF VERMELHO
32492;BOCAL UNICO 12MM ME683 (MIG)
30562;BOBINA U1 24VCC 3,5W
16311;BOBINA REAT. P/ CONTATOR D6 - 3800VCA 40-95A
23814;BOBINA DE DISPARO A DISTANCIA 24VCA/VCC REF BD E26 DWB1600 WEG
1107;BOBINA CWM9...25 24V
8220;BOBINA CONTATOR A50...75 400-415V
15451;BLOCO AUX. P/  DISJUNTOR MOTOR IBFD11 FRONTAL  1NA + 1NF
15449;BLOCO AUX. FRONTAL P/ CONT. IC - IBC11 1NA 1NF
29241;BICO DE LIMPEZA C/GATILHO BS 04
33012;BICO CONTATO 0.8MM 6X25MM - MIG
839;BICO AREJADOR TORNEIRA
26598;BATERIA INTELBRAS XB 1223 12 V 2.3 AH VRLA P/CENTRAL ALARME
796;BATERIA ALCALINA 9V - RAYOVAC
32640;BATERIA 3.6V 80MAH TIPO BUJAO
23003;BASE FUSIVEL P/TP 160MM L D 14MM CLASSE 15KV
22227;BASE BLOCO DE PROTEÇÃO 2 PARES (MPH-160)
28341;BARRAMENTO PENTE MONOF 54P 80A METRO
7283;BARRA ROSCADA 8MMX1MT
8074;BARRA ROSCADA 1/2X1MT
8628;BANDEJA P/ CAPACITOR 500 X 250 X 100
8116;BANDEJA FIXA P900mm
27951;BALUN P/CAMERA SIST SEG VB 1016 WP
18423;ATUADOR P/ SENSOR MAGNETICO ASSH5-30R1P WEG
476;AQUECEDOR 5400W 220V
6078;APLICADOR DE SILICONE 9 - WESTERN
429;ANILHA 0.75 - 3.0MM NR 3
22621;ANEL P/ ISOLADOR DE PINO POLIMERICO
13807;AMPERIMETRO COM TC SF-A48 200/5A
28566;AMORTECEDOR PORTA MALA VW / FIAT
19442;ALICATE UNIVERSAL 8'
22033;ALICATE DE CRIMPAR TERMINAL TUBULAR 0.25-10MM AUTO AJUST. CATRACA
29246;ALICATE CORTAR ARAME  CABO ACO 10 ACA-10
28246;ALICATE BOMBA DE AGUA TIPO CUNHA 12 POL
11352;ALCA PREFORMADA CABO DE ACO 1/4 - AMARELA
28925;ADESIVO PVC INCOLOR FRASCO - 175G
16462;ADESIVO COLA JUNTA 3M 73G
17895;ADAPTADOR STORZ 1.1/2 P/ 2.1/2 ROSCA GLOBO 5FPP
17837;ADAPTADOR STORZ  2.1/2 5FF BSP X 2.1/2 E.R LATAO
93;ADAPTADOR MANG C/ ROSCA INTERNA 3/4
24957;ADAPTADOR INTERNO ABS CAIXA STD PC DUTOTEC
31667;ADAPTADOR ELETR R40 ABS INJ 3X1 BRANCO
11157;ACOPLAMENTO 3P+T 16A 6H 380/440V  EXTENCAO ACO-0316
22899;ABRIGO HIDRANTE 90X60X30 - SOBREPOR
20529;ABRIGO HIDRANTE 90X60X17 CM EMBUTIR
30693;ABRACADEIRA MANGOTE 20MM
31686;BARRAMENTO PENTE TRIF 63A 12P
1394;PAPEL MYLAR 0.25MM
31956;FORRO PVC FRIZADO BRANCO 10CM
24252;BARRAMENTO PENTE TRIF METRO 54P 80A
31784;TECNIL PARA SENSOR
33198;PISO 44X44 POLAR
19362;PAPEL PRESPAM 0.20 MM
21152;BARRAMENTO DE COBRE 2' X 1/4
20184;TUBO DE AGUA 50MM SOLD. 1MT
14545;VIDRO REPOSICAO 16
6009;VIDRO DE REPOSICAO LUM. BLINDADA DE 200W
27854;VIDRO COMUM 2 MM INCOLOR
30347;VENTILADOR WEG 180 C/CHAVETA
248;VENTILADOR KOHLBACH 71
243;VENTILADOR KOHLBACH 132 FURO FINO
7569;VENTILADOR KOHLBACH 100 (14MM)
10297;VENTILADOR 90 FURO FINO (14X159MM)
13473;VENTILADOR 48 NEMA COPINHO
9214;VENTILADOR 160 FURO GROSSO
233;VENTILADOR 160 FURO FINO
232;VENTILADOR 132 FURO GROSSO
10293;VENTILADOR 132 FURO FINO
7221;VASELINA SOLIDA INDUSTRIAL 90GR
17886;VALVULA RETENCAO VERTICAL PN16 2.1/2
19292;VALVULA RETENCAO VERTICAL 1'
18765;VALVULA RETENCAO HORIZ. PN16 2.1/2
20111;VALVULA PNEUMATICA 5X2 VIAS - 24VDC - ROSCA 1/4 - 4V310-08 DC24
31397;VALVULA DUPLO SOLENOIDE 5/2 VIAS 1/4-3587
22768;VALVULA 61-5822-XX 5/2 1/4 S/ BOBINA
31776;TUBO QUAD. 30X30 2.0X6000MM
29152;TUBO PBA NBR 5647 DN100 110MMX6MT
27547;TUBO  INDUSTRIAL REDONDO 3/4X1.55X6000
25602;TRENA DE FIBRA DE VIDRO 50MT
18962;TRAVA P/ DISJUNTOR 18MM DBS-D8601 DE 1A ATE 70A
28011;TRANSMISSOR DE PRESSAO DIFERENCIAL PARA AR - RANGE 500PA  SINAL 4 A 20 MA - 16 - 35 VDC
33294;TRANSFORMADOR TRIFASICO 500/24,20-19,80/380-220SS
815;TRANSF DE CORRENTE MSQ-60 800/5A
1338;TRANSF DE CORRENTE MSQ-30 100/5A
4401;TRANSF DE CORRENTE MSQ-100 1500/5A
25479;TRANSDUTOR DE CORRENTE ENTRADA 0-1/0-5A SAÍDA 0-10V/0-20MA REF MCR-SLP-1-5-UI-0 PHOENIX
25942;TRAFO MONO 500VA 220/380 - 24V
3268;TRAFO MONO 300VA 220/380V-24V
14588;TRAFO MONO 150VA 480V-110V
18489;TRAFO MONO 150VA 220/380V/440V 24V
14330;TRAFO MONO 100VA 220/380V - 24V
24448;TRAFO MONO 1000VA 440/380/220V - 220/110V REF: BR4:4AM70360AB420EF0 SIEMENS
13639;TRAFO 220/0,18V 1A
7292;TOTALIZADOR DE HORAS BMTH3L - 8L
25755;TOMADA IND EMBUTIR 413-9 2P+T 16A 380V VERM. IP44
26209;TOMADA DE SOBREPOR PADRAO BR P/ ENCAIXE TRILHO DIN 2P+T 10A
19192;TINTA ZARCÃO
